,p(d),P(d),r(d),L(d),1/L(d),H(d),h(d),r_
0.0,0.18254560048309654,3.39869816939017,4.473679734341893,1.5606575028925258,0.640755577791154,5.478083269898354,3.5101124107917743,1
0.005,0.18208980646180808,3.390212036053226,4.443954397330079,1.571096644721112,0.6364980813624687,5.491795611358081,3.4955173698642446,1
0.01,0.18163515050240278,3.3817470915525436,4.414426570134106,1.581605613325858,0.6322688738421732,5.505542276558256,3.480983015089963,1
0.015,0.18118162976327937,3.373303282982192,4.385094940401242,1.5921848757737656,0.6280677672647925,5.519323351415581,3.4665090941360157,1
0.02,0.1807292414099318,3.36488055756834,4.355958204498664,1.6028349022560175,0.6238945749137874,5.533138922061817,3.452095355718689,1
0.025,0.1802779826149313,3.3564788626689253,4.327015067455542,1.6135561661088789,0.6197491113132547,5.54698907484433,3.437741549599106,1
0.03,0.179827850557909,3.3480981457733288,4.298264242905462,1.6243491438347288,0.6156311922196858,5.560873896326616,3.423447426578884,1
0.035,0.1793788424255381,3.3397383545020425,4.2697044530292665,1.6352143151232432,0.6115406346137765,5.574793473288857,3.4092127384958064,1
0.04,0.1789309554115162,3.3313994366063424,4.241334428498262,1.646152162872713,0.6074772566922928,5.588747892728453,3.3950372382195124,1
0.045,0.17848418671654814,3.3230813399679664,4.213152908417799,1.6571631732115042,0.603440877859992,5.60273724186057,3.3809206796472124,1
0.05,0.17803853354832805,3.314784012598782,4.185158640271233,1.6682478355196668,0.5994313187215947,5.616761608118688,3.3668628176994106,1
0.055,0.1775939931215222,3.306507402640467,4.157350379864262,1.679406642450684,0.5954484010738127,5.630821079155139,3.352863408315648,1
0.06,0.17715056265775142,3.2982514583641813,4.129726891269623,1.6906400899533676,0.5914919478974279,5.6449157428416665,3.338922208450273,1
0.065,0.17670823938557395,3.2900161281702474,4.102286946772166,1.7019486772938992,0.5875617833494259,5.65904568726996,3.3250389760682153,1
0.07,0.17626702054046786,3.2818013605878242,4.075029326814284,1.7133329070780225,0.58365773275518,5.673211000752221,3.3112134701407867,1
0.075,0.17582690336481394,3.273607104274588,4.047952819941716,1.7247932852733803,0.5797796226006873,5.687411771821704,3.297445450641494,1
0.08,0.17538788510787837,3.2654333080164086,4.0210562227496975,1.736330321232001,0.5759272805248583,5.7016480892332755,3.283734678541875,1
0.085,0.17494996302579569,3.257279920727035,3.994338339829482,1.7479445277129357,0.5721005353118561,5.7159200419639635,3.2700809158073505,1
0.09,0.17451313438155142,3.2491468914477695,3.9677979837152084,1.7596364209050526,0.5682992168834852,5.730227719213521,3.2564839253930833,1
0.095,0.1740773964449651,3.2410341693471514,3.9414339748311256,1.7714065204499738,0.564523156291634,5.744571210404977,3.2429434712398693,1
